Reaction_ID,lb,ub
HMR_8171,0,0.584962501
HMR_8172,0,1.063502942
HMR_8173,0,0.189033824
HMR_8174,0,1.063502942
HMR_8175,0,4.578938713
HMR_8176,0,1.063502942
HMR_8177,0,1.063502942
HMR_8178,0,4.578938713
HMR_8179,0,0.150559677
HMR_8180,0,0.584962501
HMR_8181,0,0.584962501
HMR_8182,0,0.584962501
HMR_8183,0,0.584962501
HMR_8184,0,1.526068812
HMR_8185,0,1.077242999
HMR_8186,0,1.077242999
HMR_8187,0,1.077242999
HMR_8190,0,2.724650272
HMR_8191,0,2.724650272
HMR_8192,0,2.724650272
HMR_8194,0,0.189033824
HMR_8198,0,0.310340121
HMR_8201,0,3.694880193
HMR_8206,0,2.12763328
HMR_8209,0,3.498250868
HMR_8210,0,2.44625623
HMR_8211,0,6.99004722
HMR_8212,0,2.12763328
HMR_8217,0,5.452200049
HMR_8224,0,4.867896464
HMR_8226,0,4.867896464
HMR_8227,0,4.867896464
HMR_8228,0,4.867896464
HMR_8233,0,3.840966704
HMR_8235,0,3.840966704
HMR_8237,0,3.701549057
HMR_8238,constrainedbounds0,3.701549057
HMR_8238,re-openedbounds0,1000
HMR_8238,0,1000
HMR_8242,0,0.82374936
HMR_8248,0,5.459103696
HMR_8249,0,0.189033824
HMR_8250,0,0.189033824
HMR_8251,0,0.189033824
HMR_0673,0,3.928844037
HMR_0674,0,3.928844037
HMR_0675,0,3.928844037
HMR_0676,0,3.928844037
HMR_0677,0,3.928844037
HMR_0678,0,3.928844037
HMR_4296,0,0
HMR_0478,0,0.389566812
HMR_0483,0,2.107687869
HMR_0482,0,2.107687869
HMR_0610,0,5.524502537
HMR_0613,0,5.524502537
HMR_0616,0,5.731726323
HMR_0622,0,4.450221496
HMR_0623,0,6.30633516
HMR_0627,0,5.731726323
HMR_0634,0,3.858975614
HMR_0635,0,2.754887502
HMR_0640,0,0.056583528
HMR_0646,0,2.754887502
HMR_0649,0,0.250961574
HMR_0651,constrainedbounds0,3.67468662
HMR_0651,re-openedbounds0,1000
HMR_0651,0,1000
HMR_0653,0,4.087462841
HMR_0654,0,4.087462841
HMR_0657,0,4.087462841
HMR_4627,0,5.457134594
HMR_4838,0,5.457134594
HMR_4839,0,5.457134594
HMR_7594,0,4.604664415
HMR_7612,0,0
HMR_7755,0,3.326249701
HMR_8424,0,0.250961574
HMR_8519,0,0
HMR_9805,0,0.163498732
HMR_0815,0,2.724650272
HMR_0816,0,1.077242999
HMR_0820,0,1.526068812
HMR_0822,0,0.584962501
HMR_0824,0,1.526068812
HMR_0827,0,2.724650272
HMR_0829,0,1.077242999
HMR_0839,0,0.584962501
HMR_0840,0,4.578938713
HMR_0841,0,0.150559677
HMR_0842,0,2.724650272
HMR_0843,0,1.077242999
HMR_0846,0,0.584962501
HMR_0848,0,4.578938713
HMR_0851,0,0.150559677
HMR_0852,0,0.150559677
HMR_0853,0,0.150559677
HMR_0854,0,0.150559677
HMR_0856,0,2.724650272
HMR_0857,0,1.077242999
HMR_0858,0,1.063502942
HMR_0801,0,4.135042286
HMR_0803,0,5.452200049
HMR_0805,0,0.855989697
HMR_0806,0,0.855989697
HMR_0809,0,2.448900951
HMR_0810,0,0.310340121
HMR_0811,0,3.694880193
HMR_0814,0,0.150559677
HMR_0859,0,6.141391916
HMR_0865,0,0.310340121
HMR_0867,0,0.124328135
HMR_0868,0,0.124328135
HMR_0876,0,3.384049807
HMR_0877,0,0.150559677
HMR_0879,0,0.310340121
HMR_0881,0,0.124328135
HMR_0884,0,0.124328135
HMR_0887,0,0.124328135
HMR_0892,0,0.189033824
HMR_0901,0,0.124328135
HMR_0902,0,0.124328135
HMR_0905,0,0.124328135
HMR_0906,0,4.725741157
HMR_0910,0,3.384049807
HMR_0792,0,2.12763328
HMR_0793,0,2.44625623
HMR_0794,0,1.963474124
HMR_0835,0,3.642701572
HMR_0914,0,2.44625623
HMR_0919,0,1.084064265
HMR_0920,0,1.084064265
HMR_0921,0,1.084064265
HMR_7188,0,0.124328135
HMR_8380,0,5.69265037
HMR_7186,0,5.69265037
HMR_8381,0,2.965322548
HMR_7187,0,2.965322548
HMR_8384,0,2.443606651
HMR_8385,0,3.393690764
HMR_8387,0,2.443606651
HMR_8388,0,3.393690764
HMR_8389,0,1.967168608
HMR_8390,0,1.967168608
HMR_8391,0,2.310340121
HMR_8392,0,2.310340121
HMR_8394,0,2.310340121
HMR_8397,0,2.310340121
HMR_8399,0,2.310340121
HMR_8403,0,2.424922088
HMR_8405,0,2.424922088
HMR_1981,0,0
