Component,g/L,reaction,lb,ub
-1.0 20alpha-hydroxy-4-pregnen-3-one <-->,0,HMR_9268,0,1000
-1.0 aquacob(III)alamin <-->,1000,HMR_9269,-1000,1000
-1.0 L-arabinose <-->,0,HMR_9270,0,1000
-1.0 bilirubin-bisglucuronoside <-->,0,HMR_9271,0,1000
-1.0 bilirubin-monoglucuronoside <-->,0,HMR_9272,0,1000
-1.0 bilirubin <-->,0,HMR_9273,0,1000
-1.0 cAMP <-->,0,HMR_9275,0,1000
-1.0 beta-carotene <-->,0,HMR_9276,0,1000
-1.0 (-)-trans-carveol <-->,0,HMR_9277,0,1000
-1.0 calcitroic acid <-->,0,HMR_9278,0,1000
-1.0 cys-gly <-->,0,HMR_9279,0,1000
-1.0 cholate <-->,0,HMR_9280,0,1000
-1.0 glycocholate <-->,0,HMR_9281,0,1000
-1.0 taurocholate <-->,0,HMR_9282,0,1000
-1.0 glycochenodeoxycholate <-->,0,HMR_9283,0,1000
-1.0 taurochenodeoxycholate <-->,0,HMR_9284,0,1000
-1.0 cholesterol <-->,0,HMR_9285,0,1000
-1.0 citrate <-->,0,HMR_9286,0,1000
-1.0 CMP <-->,0,HMR_9287,0,1000
-1.0 CO <-->,0,HMR_9288,0,1000
-1.0 coumarin <-->,0,HMR_9289,0,1000
-1.0 creatine <-->,0,HMR_9290,0,1000
-1.0 cytosine <-->,0,HMR_9291,0,1000
-1.0 L-carnitine <-->,0,HMR_9292,0,1000
-1.0 cortisol <-->,0,HMR_9293,0,1000
-1.0 corticosterone <-->,0,HMR_9294,0,1000
-1.0 cytidine <-->,0,HMR_9295,0,1000
-1.0 deoxycytidine <-->,0,HMR_9296,0,1000
-1.0 deoxyadenosine <-->,0,HMR_9297,0,1000
-1.0 5-deoxyadenosine <-->,0,HMR_9298,0,1000
-1.0 debrisoquin <-->,0,HMR_9299,0,1000
-1.0 deoxyguanosine <-->,0,HMR_9300,0,1000
-1.0 dehydroascorbic acid <-->,0,HMR_9301,0,1000
